codigo_departamento,departamento,anno,cantidad
44,LA GUAJIRA,2016,0.543
47,MAGDALENA,2016,0.486
50,META,2016,0.464
52,NARIÑO,2016,0.519
54,NORTE DE SANTANDER,2016,0.467
63,QUINDÍO,2016,0.468
66,RISARALDA,2016,0.435
68,SANTANDER,2016,0.451
70,SUCRE,2016,0.466
73,TOLIMA,2016,0.487
76,VALLE DEL CAUCA,2016,0.483
00,Nación,2016,0.517
81,ARAUCA,2016,0.574
85,CASANARE,2016,0.574
86,PUTUMAYO,2016,0.574
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2016,0.517
91,AMAZONAS,2016,0.574
94,GUAINÍA,2016,0.574
95,GUAVIARE,2016,0.574
97,VAUPÉS,2016,0.574
99,VICHADA,2016,0.574
05,ANTIOQUIA,2017,0.496
08,ATLÁNTICO,2017,0.442
11,"BOGOTÁ, D.C.",2017,0.498
13,BOLÍVAR,2017,0.461
15,BOYACÁ,2017,0.514
17,CALDAS,2017,0.496
18,CAQUETÁ,2017,0.457
19,CAUCA,2017,0.504
20,CESAR,2017,0.487
27,CHOCÓ,2017,0.566
23,CÓRDOBA,2017,0.468
25,CUNDINAMARCA,2017,0.428
41,HUILA,2017,0.487
44,LA GUAJIRA,2017,0.553
47,MAGDALENA,2017,0.485
50,META,2017,0.473
52,NARIÑO,2017,0.508
54,NORTE DE SANTANDER,2017,0.465
63,QUINDÍO,2017,0.453
66,RISARALDA,2017,0.427
68,SANTANDER,2017,0.453
70,SUCRE,2017,0.457
73,TOLIMA,2017,0.485
76,VALLE DEL CAUCA,2017,0.472
00,Nación,2017,0.508
81,ARAUCA,2017,0.566
85,CASANARE,2017,0.566
86,PUTUMAYO,2017,0.566
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2017,0.508
91,AMAZONAS,2017,0.566
94,GUAINÍA,2017,0.566
95,GUAVIARE,2017,0.566
97,VAUPÉS,2017,0.566
99,VICHADA,2017,0.566
05,ANTIOQUIA,2018,0.501
08,ATLÁNTICO,2018,0.443
11,"BOGOTÁ, D.C.",2018,0.504
13,BOLÍVAR,2018,0.472
