codigo_municipio,anno,cantidad,delito
05107,2020,6,6
05107,2020,1,7
05107,2021,2,7
05107,2022,1,3
05107,2022,2,6
05107,2022,2,7
05107,2023,1,2
05113,2013,2,1
05113,2013,2,5
05113,2015,1,3
05113,2018,2,5
05113,2020,8,6
05113,2021,3,2
05113,2021,1,7
05113,2022,2,2
05113,2022,14,6
05113,2022,6,7
05113,2023,1,1
05113,2023,17,2
05113,2023,10,6
05113,2024,2,2
05120,2014,1,1
05120,2015,1,3
05120,2016,2,1
05120,2016,1,3
05120,2016,4,5
05120,2017,2,1
05120,2017,2,3
05120,2018,1,1
05120,2018,2,3
05120,2019,2,5
05120,2020,4,2
05120,2020,5,6
05120,2020,4,7
05120,2021,3,2
05120,2021,2,7
05120,2022,4,5
05120,2022,5,6
05120,2022,8,7
05120,2023,7,2
05120,2023,2,3
05120,2023,19,6
05120,2023,9,7
05125,2014,1,3
05125,2017,3,3
05125,2020,3,6
05125,2020,1,7
05125,2021,2,2
05125,2021,1,3
05125,2021,2,5
05125,2021,5,7
05125,2022,2,2
05125,2022,3,6
05125,2022,2,7
05125,2023,4,2
05125,2023,2,3
05125,2023,4,6
05129,2010,14,1
05129,2010,1,3
05129,2010,2,4
05129,2010,14,5
05129,2011,14,1
05129,2011,14,5
05129,2012,19,1
05129,2012,4,4
05129,2012,6,5
05129,2013,33,1
05129,2013,2,3
05129,2013,32,5
05129,2014,5,1
05129,2014,4,5
05129,2015,13,1
05129,2015,4,4
05129,2015,12,5
05129,2016,12,1
05129,2016,2,4
05129,2016,4,5
05129,2017,28,1
05129,2017,1,3
05129,2017,10,5
05129,2018,15,1
05129,2018,2,3
05129,2018,6,5
05129,2019,17,1
05129,2019,6,5
05129,2020,29,1
05129,2020,39,2
05129,2020,4,5
05129,2020,53,6
05129,2020,32,7
05129,2021,25,1
05129,2021,59,2
05129,2021,4,3
05129,2021,47,7
05129,2022,28,1
05129,2022,53,2
05129,2022,2,3
05129,2022,61,6
05129,2022,97,7
05129,2023,8,1
05129,2023,80,2
05129,2023,6,3
05129,2023,4,5
05129,2023,77,6
05129,2023,67,7
