codigo_municipio,anno,cantidad,delito,codigo_departamento,poblacion,indice
05036,2016,21,14,05,5781.0,363.26
05036,2016,10,15,05,5781.0,172.98
05036,2018,1,1,05,5756.0,17.37
05036,2018,1,3,05,5756.0,17.37
05036,2018,3,8,05,5756.0,52.12
05036,2018,4,9,05,5756.0,69.49
05036,2018,22,11,05,5756.0,382.21
05036,2018,14,14,05,5756.0,243.22
05036,2018,18,15,05,5756.0,312.72
05036,2019,1,3,05,5790.0,17.27
05036,2019,5,8,05,5790.0,86.36
05036,2019,1,9,05,5790.0,17.27
05036,2019,20,11,05,5790.0,345.42
05036,2019,12,14,05,5790.0,207.25
05036,2019,4,15,05,5790.0,69.08
05038,2013,3,3,05,11661.0,25.73
05038,2013,13,8,05,11661.0,111.48
05038,2013,1,9,05,11661.0,8.58
05038,2013,2,13,05,11661.0,17.15
05038,2013,12,14,05,11661.0,102.91
05038,2013,2,15,05,11661.0,17.15
05038,2014,1,3,05,11586.0,8.63
05038,2014,2,8,05,11586.0,17.26
05038,2014,5,9,05,11586.0,43.16
05038,2014,4,11,05,11586.0,34.52
05038,2014,17,14,05,11586.0,146.73
05038,2014,1,15,05,11586.0,8.63
05038,2015,2,3,05,11538.0,17.33
05038,2015,16,8,05,11538.0,138.67
05038,2015,7,9,05,11538.0,60.67
05038,2015,16,11,05,11538.0,138.67
05038,2015,31,14,05,11538.0,268.68
05038,2015,5,15,05,11538.0,43.34
05038,2016,2,3,05,11486.0,17.41
05038,2016,6,8,05,11486.0,52.24
05038,2016,6,9,05,11486.0,52.24
05038,2016,19,11,05,11486.0,165.42
05038,2016,29,14,05,11486.0,252.48
05038,2016,8,15,05,11486.0,69.65
05038,2017,5,3,05,11396.0,43.88
05038,2017,2,8,05,11396.0,17.55
05038,2017,9,9,05,11396.0,78.98
05038,2017,27,11,05,11396.0,236.93
05038,2017,34,14,05,11396.0,298.35
05038,2017,6,15,05,11396.0,52.65
05038,2018,5,3,05,11437.0,43.72
05038,2018,6,8,05,11437.0,52.46
05038,2018,4,9,05,11437.0,34.97
05038,2018,14,11,05,11437.0,122.41
05038,2018,35,14,05,11437.0,306.02
05038,2018,11,15,05,11437.0,96.18
05038,2019,1,1,05,11462.0,8.72
05038,2019,2,3,05,11462.0,17.45
05038,2019,7,8,05,11462.0,61.07
05038,2019,8,9,05,11462.0,69.8
05038,2019,4,11,05,11462.0,34.9
05038,2019,23,14,05,11462.0,200.66
05038,2019,5,15,05,11462.0,43.62
05040,2015,1,3,05,17534.0,5.7
05040,2015,4,8,05,17534.0,22.81
05040,2015,15,9,05,17534.0,85.55
05040,2015,10,11,05,17534.0,57.03
05040,2015,20,14,05,17534.0,114.06
05040,2015,3,15,05,17534.0,17.11
05040,2016,1,3,05,17723.0,5.64
05040,2016,26,8,05,17723.0,146.7
05040,2016,10,9,05,17723.0,56.42
05040,2016,13,11,05,17723.0,73.35
05040,2016,66,14,05,17723.0,372.4
05040,2016,7,15,05,17723.0,39.5
05040,2017,2,3,05,17991.0,11.12
05040,2017,18,8,05,17991.0,100.05
05040,2017,8,9,05,17991.0,44.47
05040,2017,19,11,05,17991.0,105.61
05040,2017,49,14,05,17991.0,272.36
05040,2017,18,15,05,17991.0,100.05
05040,2018,2,3,05,18321.0,10.92
05040,2018,10,8,05,18321.0,54.58
05040,2018,26,9,05,18321.0,141.91
05040,2018,17,11,05,18321.0,92.79
05040,2018,52,14,05,18321.0,283.83
05040,2018,7,15,05,18321.0,38.21
05040,2019,1,3,05,18737.0,5.34
05040,2019,12,8,05,18737.0,64.04
